Student_ID,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,Paid,activities,nursery,higher,internet
1001,GP,F,18,,,A,4,,,,,
1002,GP,F,17,,,T,1,,,,,
1003,GP,F,15,,,T,1,,,,,
1004,GP,F,15,,,T,4,,,,,
1005,GP,F,16,,,T,3,,,,,
1006,GP,M,16,,,T,4,,,,,
1007,GP,M,16,,,T,2,,,,,
1008,GP,F,17,,,A,4,,,,,
1009,GP,M,15,,,A,3,,,,,
1010,GP,M,15,,,T,3,,,,,
1011,GP,F,15,,,T,4,,,,,
1012,GP,F,15,,,T,2,,,,,
1013,GP,M,15,,,T,4,,,,,
1014,GP,M,15,,,T,4,,,,,
1015,GP,M,15,,,A,2,,,,,
1016,GP,F,16,,,T,4,,,,,
1017,GP,F,16,,,T,4,,,,,
1018,GP,F,16,,,T,3,,,,,
1019,GP,M,17,,,T,3,,,,,
1020,GP,M,16,,,T,4,,,,,
1021,GP,M,15,,,T,4,,,,,
1022,GP,M,15,,,T,4,,,,,
1023,GP,M,16,,,T,4,,,,,
1024,GP,M,16,,,T,2,,,,,
1025,GP,F,15,,,T,2,,,,,
1026,GP,F,16,,,T,2,,,,,
1027,GP,M,15,,,T,2,,,,,
1028,GP,M,15,,,T,4,,,,,
1029,GP,M,16,,,A,3,,,,,
1030,GP,M,16,,,T,4,,,,,
1031,GP,M,15,,,T,4,,,,,
1032,GP,M,15,,,T,4,,,,,
1033,GP,M,15,,,T,4,,,,,
1034,GP,M,15,,,T,3,,,,,
1035,GP,M,16,,,T,3,,,,,
1036,GP,F,15,,,T,2,,,,,
1037,GP,M,15,,,T,4,,,,,
1038,GP,M,16,,,A,4,,,,,
1039,GP,F,15,,,T,3,,,,,
1040,GP,F,15,,,T,2,,,,,
1041,GP,F,16,,,T,2,,,,,
1042,GP,M,15,,,T,4,,,,,
1043,GP,M,15,,,T,4,,,,,
1044,GP,M,15,,,T,2,,,,,
1045,GP,F,16,,,T,2,,,,,
1046,GP,F,15,,,A,4,,,,,
1047,GP,F,16,,,A,3,,,,,
1048,GP,M,16,,,T,4,,,,,
1049,GP,M,15,,,T,4,,,,,
1050,GP,F,15,,,T,4,,,,,
1051,GP,F,16,,,T,2,,,,,
1052,GP,F,15,,,T,4,,,,,
1053,GP,M,15,,,A,4,,,,,
1054,GP,F,15,,,T,4,,,,,
1055,GP,F,15,,,A,3,,,,,
1056,GP,F,16,,,A,2,,,,,
1057,GP,F,15,,,A,4,,,,,
1058,GP,M,15,,,T,4,,,,,
1059,GP,M,15,,,T,1,,,,,
1060,GP,F,16,,,T,4,,,,,
1061,GP,F,16,,,T,4,,,,,
1062,GP,F,16,,,T,1,,,,,
1063,GP,F,16,,,T,1,,,,,
1064,GP,F,16,,,T,4,,,,,
1065,GP,F,15,,,T,4,,,,,
1066,GP,F,16,,,T,4,,,,,
1067,GP,M,15,,,A,4,,,,,
1068,GP,F,16,,,T,3,,,,,
1069,GP,F,15,,,T,2,,,,,
1070,GP,F,15,,,T,3,,,,,
1071,GP,M,16,,,T,3,,,,,
1072,GP,M,15,,,T,4,,,,,
1073,GP,F,15,,,T,1,,,,,
1074,GP,M,16,,,T,3,,,,,
1075,GP,F,16,,,T,3,,,,,
1076,GP,M,15,,,T,4,,,,,
1077,GP,M,15,,,T,4,,,,,
1078,GP,F,16,,,T,2,,,,,
1079,GP,M,17,,,T,2,,,,,
1080,GP,F,16,,,T,3,,,,,
1081,GP,M,15,,,T,2,,,,,
1082,GP,M,15,,,T,2,,,,,
1083,GP,F,15,,,T,3,,,,,
1084,GP,M,15,,,T,2,,,,,
1085,GP,F,15,,,T,1,,,,,
1086,GP,F,15,,,T,4,,,,,
1087,GP,F,16,,,T,2,,,,,
1088,GP,F,15,,,T,4,,,,,
1089,GP,M,16,,,T,2,,,,,
1090,GP,M,16,,,A,4,,,,,
1091,GP,F,16,,,T,3,,,,,
1092,GP,F,15,,,T,4,,,,,
1093,GP,F,16,,,T,3,,,,,
1094,GP,F,16,,,T,4,,,,,
1095,GP,M,15,,,T,2,,,,,
1096,GP,F,15,,,T,1,,,,,
1097,GP,M,16,,,T,4,,,,,
1098,GP,F,16,,,T,2,,,,,
1099,GP,F,16,,,T,4,,,,,
1100,GP,F,16,,,T,4,,,,,
1101,GP,M,16,,,T,4,,,,,
1102,GP,M,16,,,T,4,,,,,
1103,GP,M,15,,,T,4,,,,,
1104,GP,F,15,,,T,3,,,,,
1105,GP,M,15,,,A,3,,,,,
1106,GP,F,15,,,A,3,,,,,
1107,GP,F,15,,,T,2,,,,,
1108,GP,M,16,,,T,3,,,,,
1109,GP,M,15,,,T,4,,,,,
1110,GP,F,16,,,T,4,,,,,
1111,GP,M,15,,,A,4,,,,,
1112,GP,F,16,,,T,3,,,,,
1113,GP,F,16,,,T,2,,,,,
1114,GP,M,15,,,T,4,,,,,
1115,GP,M,15,,,T,2,,,,,
1116,GP,M,16,,,T,4,,,,,
1117,GP,M,15,,,T,4,,,,,
1118,GP,M,16,,,T,3,,,,,
1119,GP,M,17,,,T,1,,,,,
1120,GP,M,15,,,T,3,,,,,
1121,GP,F,15,,,T,1,,,,,
1122,GP,M,15,,,T,2,,,,,
1123,GP,F,16,,,T,2,,,,,
1124,GP,M,16,,,T,4,,,,,
1125,GP,F,16,,,T,2,,,,,
1126,GP,M,15,,,T,3,,,,,
1127,GP,F,15,,,A,3,,,,,
1128,GP,F,19,,,T,0,,,,,
1129,GP,M,18,,,T,2,,,,,
1130,GP,M,16,,,T,4,,,,,
1131,GP,F,15,,,T,3,,,,,
1132,GP,F,15,,,T,1,,,,,
1133,GP,F,17,,,T,2,,,,,
1134,GP,F,16,,,A,3,,,,,
1135,GP,M,15,,,T,3,,,,,
1136,GP,F,15,,,T,4,,,,,
1137,GP,M,17,,,T,3,,,,,
1138,GP,F,16,,,A,3,,,,,
1139,GP,M,16,,,T,1,,,,,
1140,GP,F,15,,,T,4,,,,,
1141,GP,M,15,,,T,4,,,,,
1142,GP,M,16,,,T,2,,,,,
1143,GP,F,15,,,T,4,,,,,
1144,GP,F,16,,,T,1,,,,,
1145,GP,M,17,,,T,2,,,,,
1146,GP,F,15,,,T,1,,,,,
1147,GP,F,15,,,T,3,,,,,
1148,GP,F,15,,,T,1,,,,,
1149,GP,M,16,,,T,4,,,,,
1150,GP,M,15,,,A,2,,,,,
1151,GP,M,18,,,T,1,,,,,
1152,GP,M,16,,,T,2,,,,,
1153,GP,F,15,,,T,3,,,,,
1154,GP,M,19,,,T,3,,,,,
1155,GP,F,17,,,T,4,,,,,
1156,GP,M,15,,,T,2,,,,,
1157,GP,M,17,,,T,1,,,,,
1158,GP,F,18,,,T,1,,,,,
1159,GP,M,16,,,T,2,,,,,
1160,GP,M,16,,,T,3,,,,,
1161,GP,M,17,,,T,2,,,,,
1162,GP,M,15,,,T,3,,,,,
1163,GP,M,16,,,T,1,,,,,
1164,GP,M,17,,,T,1,,,,,
1165,GP,M,17,,,T,1,,,,,
1166,GP,M,16,,,T,3,,,,,
1167,GP,M,16,,,T,2,,,,,
1168,GP,F,16,,,T,4,,,,,
1169,GP,F,16,,,T,2,,,,,
1170,GP,F,16,,,T,4,,,,,
1171,GP,M,16,,,T,3,,,,,
1172,GP,M,16,,,T,1,,,,,
1173,GP,M,17,,,T,4,,,,,
1174,GP,F,16,,,T,1,,,,,
1175,GP,F,16,,,T,3,,,,,
1176,GP,M,17,,,T,4,,,,,
1177,GP,F,16,,,T,2,,,,,
1178,GP,M,17,,,T,3,,,,,
1179,GP,M,16,,,T,4,,,,,
1180,GP,M,17,,,T,4,,,,,
1181,GP,M,16,,,T,4,,,,,
1182,GP,M,16,,,T,3,,,,,
1183,GP,F,17,,,T,2,,,,,
1184,GP,F,17,,,T,3,,,,,
1185,GP,F,16,,,T,3,,,,,
1186,GP,M,17,,,T,3,,,,,
1187,GP,M,16,,,T,1,,,,,
1188,GP,M,16,,,T,2,,,,,
1189,GP,F,17,,,A,3,,,,,
1190,GP,M,17,,,T,1,,,,,
1191,GP,F,16,,,T,2,,,,,
1192,GP,F,17,,,T,1,,,,,
1193,GP,M,17,,,T,1,,,,,
1194,GP,M,16,,,T,3,,,,,
1195,GP,M,16,,,T,2,,,,,
1196,GP,F,17,,,T,2,,,,,
1197,GP,M,17,,,T,4,,,,,
1198,GP,M,16,,,T,3,,,,,
1199,GP,F,17,,,T,4,,,,,
1200,GP,F,16,,,T,4,,,,,
1201,GP,F,16,,,T,4,,,,,
1202,GP,F,16,,,T,2,,,,,
1203,GP,F,17,,,T,1,,,,,
1204,GP,F,17,,,T,2,,,,,
1205,GP,F,16,,,T,2,,,,,
1206,GP,F,17,,,T,3,,,,,
1207,GP,F,16,,,A,3,,,,,
1208,GP,F,16,,,T,4,,,,,
1209,GP,F,16,,,T,1,,,,,
1210,GP,F,17,,,T,4,,,,,
1211,GP,F,19,,,T,3,,,,,
1212,GP,M,17,,,T,4,,,,,
1213,GP,F,16,,,A,2,,,,,
1214,GP,M,18,,,T,2,,,,,
1215,GP,F,17,,,T,4,,,,,
1216,GP,F,17,,,T,3,,,,,
1217,GP,F,17,,,T,4,,,,,
1218,GP,M,18,,,T,3,,,,,
1219,GP,F,17,,,T,2,,,,,
1220,GP,F,17,,,T,2,,,,,
1221,GP,F,17,,,T,2,,,,,
1222,GP,F,17,,,T,1,,,,,
1223,GP,F,16,,,T,2,,,,,
1224,GP,M,18,,,T,2,,,,,
1225,GP,F,16,,,T,4,,,,,
1226,GP,F,18,,,T,3,,,,,
1227,GP,F,17,,,T,3,,,,,
1228,GP,M,17,,,T,2,,,,,
1229,GP,M,18,,,T,2,,,,,
1230,GP,F,17,,,A,2,,,,,
1231,GP,F,17,,,T,4,,,,,
1232,GP,M,17,,,T,2,,,,,
1233,GP,M,17,,,T,4,,,,,
1234,GP,M,16,,,T,4,,,,,
1235,GP,M,16,,,T,1,,,,,
1236,GP,M,16,,,T,3,,,,,
1237,GP,M,17,,,T,2,,,,,
1238,GP,F,16,,,T,2,,,,,
1239,GP,F,17,,,T,2,,,,,
1240,GP,M,18,,,T,2,,,,,
1241,GP,M,17,,,T,4,,,,,
1242,GP,M,17,,,A,4,,,,,
1243,GP,M,16,,,T,4,,,,,
1244,GP,M,16,,,T,4,,,,,
1245,GP,F,18,,,T,2,,,,,
1246,GP,M,16,,,T,2,,,,,
1247,GP,M,17,,,T,2,,,,,
1248,GP,M,22,,,T,3,,,,,
1249,GP,M,18,,,T,3,,,,,
1250,GP,M,16,,,T,0,,,,,
1251,GP,M,18,,,T,3,,,,,
1252,GP,M,16,,,T,3,,,,,
1253,GP,M,18,,,T,2,,,,,
1254,GP,M,16,,,T,2,,,,,
1255,GP,M,17,,,T,2,,,,,
1256,GP,M,17,,,T,1,,,,,
1257,GP,F,17,,,T,4,,,,,
1258,GP,M,19,,,A,4,,,,,
1259,GP,M,18,,,T,2,,,,,
1260,GP,F,17,,,T,2,,,,,
1261,GP,F,18,,,T,4,,,,,
1262,GP,M,18,,,T,4,,,,,
1263,GP,M,18,,,T,3,,,,,
1264,GP,F,17,,,T,3,,,,,
1265,GP,F,18,,,T,2,,,,,
1266,GP,M,18,,,A,3,,,,,
1267,GP,M,17,,,T,3,,,,,
1268,GP,F,18,,,T,4,,,,,
1269,GP,M,18,,,T,4,,,,,
1270,GP,F,18,,,T,2,,,,,
1271,GP,F,19,,,T,3,,,,,
1272,GP,F,18,,,T,2,,,,,
1273,GP,F,18,,,T,1,,,,,
1274,GP,M,17,,,T,1,,,,,
1275,GP,F,17,,,T,2,,,,,
1276,GP,F,17,,,T,2,,,,,
1277,GP,F,18,,,A,3,,,,,
1278,GP,M,18,,,T,4,,,,,
1279,GP,F,18,,,T,4,,,,,
1280,GP,M,18,,,T,4,,,,,
1281,GP,M,17,,,A,4,,,,,
1282,GP,M,17,,,A,3,,,,,
1283,GP,F,18,,,T,1,,,,,
1284,GP,F,18,,,T,1,,,,,
1285,GP,F,17,,,T,2,,,,,
1286,GP,M,17,,,T,1,,,,,
1287,GP,F,18,,,T,2,,,,,
1288,GP,F,17,,,T,1,,,,,
1289,GP,M,18,,,T,2,,,,,
1290,GP,M,18,,,A,4,,,,,
1291,GP,M,18,,,T,4,,,,,
1292,GP,F,17,,,T,4,,,,,
1293,GP,F,18,,,T,2,,,,,
1294,GP,F,17,,,T,3,,,,,
1295,GP,M,18,,,T,3,,,,,
1296,GP,M,17,,,T,3,,,,,
1297,GP,F,19,,,T,4,,,,,
1298,GP,F,18,,,T,4,,,,,
1299,GP,F,18,,,T,4,,,,,
1300,GP,M,18,,,T,4,,,,,
1301,GP,F,18,,,A,4,,,,,
1302,GP,M,17,,,T,4,,,,,
1303,GP,F,17,,,T,4,,,,,
1304,GP,F,17,,,T,3,,,,,
1305,GP,M,19,,,T,3,,,,,
1306,GP,F,18,,,T,2,,,,,
1307,GP,M,20,,,A,3,,,,,
1308,GP,M,19,,,T,4,,,,,
1309,GP,M,19,,,T,3,,,,,
1310,GP,F,19,,,T,1,,,,,
1311,GP,F,19,,,T,1,,,,,
1312,GP,F,19,,,T,2,,,,,
1313,GP,M,19,,,T,1,,,,,
1314,GP,F,19,,,T,3,,,,,
1315,GP,F,19,,,T,1,,,,,
1316,GP,F,19,,,T,2,,,,,
1317,GP,F,18,,,T,2,,,,,
1318,GP,F,18,,,T,4,,,,,
1319,GP,F,17,,,T,3,,,,,
1320,GP,F,18,,,T,4,,,,,
1321,GP,F,17,,,A,4,,,,,
1322,GP,F,17,,,T,2,,,,,
1323,GP,F,17,,,T,2,,,,,
1324,GP,F,17,,,T,3,,,,,
1325,GP,F,17,,,T,0,,,,,
1326,GP,M,18,,,T,4,,,,,
1327,GP,M,17,,,T,3,,,,,
1328,GP,M,17,,,T,2,,,,,
1329,GP,F,17,,,T,4,,,,,
1330,GP,F,17,,,T,4,,,,,
1331,GP,M,18,,,T,2,,,,,
1332,GP,F,17,,,T,2,,,,,
1333,GP,F,18,,,T,3,,,,,
1334,GP,F,18,,,T,2,,,,,
1335,GP,F,18,,,T,2,,,,,
1336,GP,F,17,,,T,3,,,,,
1337,GP,F,19,,,A,3,,,,,
1338,GP,F,17,,,T,3,,,,,
1339,GP,F,18,,,T,3,,,,,
1340,GP,F,17,,,A,3,,,,,
1341,GP,F,19,,,T,2,,,,,
1342,GP,M,18,,,T,4,,,,,
1343,GP,M,18,,,T,3,,,,,
1344,GP,F,17,,,A,2,,,,,
1345,GP,F,18,,,T,2,,,,,
1346,GP,F,18,,,T,3,,,,,
1347,GP,M,18,,,T,4,,,,,
1348,GP,M,18,,,T,4,,,,,
1349,GP,F,17,,,T,4,,,,,
1350,MS,M,18,,,T,3,,,,,
1351,MS,M,19,,,T,1,,,,,
1352,MS,M,17,,,T,3,,,,,
1353,MS,M,18,,,T,1,,,,,
1354,MS,M,19,,,T,1,,,,,
1355,MS,M,17,,,T,4,,,,,
1356,MS,F,18,,,T,3,,,,,
1357,MS,F,17,,,T,4,,,,,
1358,MS,F,17,,,A,3,,,,,
1359,MS,M,18,,,T,1,,,,,
1360,MS,F,18,,,T,1,,,,,
1361,MS,F,18,,,A,1,,,,,
1362,MS,M,18,,,T,1,,,,,
1363,MS,F,18,,,T,3,,,,,
1364,MS,F,17,,,T,4,,,,,
1365,MS,F,17,,,T,1,,,,,
1366,MS,M,18,,,T,1,,,,,
1367,MS,M,18,,,T,4,,,,,
1368,MS,F,17,,,T,1,,,,,
1369,MS,F,18,,,T,2,,,,,
1370,MS,F,18,,,T,4,,,,,
1371,MS,F,19,,,T,3,,,,,
1372,MS,M,18,,,T,1,,,,,
1373,MS,F,17,,,T,2,,,,,
1374,MS,F,17,,,T,1,,,,,
1375,MS,F,18,,,T,4,,,,,
1376,MS,F,18,,,T,1,,,,,
1377,MS,F,20,,,T,4,,,,,
1378,MS,F,18,,,T,4,,,,,
1379,MS,F,18,,,T,3,,,,,
1380,MS,F,17,,,T,3,,,,,
1381,MS,M,18,,,T,4,,,,,
1382,MS,M,18,,,T,2,,,,,
1383,MS,M,17,,,T,2,,,,,
1384,MS,M,19,,,T,1,,,,,
1385,MS,M,18,,,T,4,,,,,
1386,MS,F,18,,,T,2,,,,,
1387,MS,F,18,,,T,4,,,,,
1388,MS,F,19,,,T,2,,,,,
1389,MS,F,18,,,T,3,,,,,
1390,MS,F,18,,,T,1,,,,,
1391,MS,M,20,,,A,2,,,,,
1392,MS,M,17,,,T,3,,,,,
1393,MS,M,21,,,T,1,,,,,
1394,MS,M,18,,,T,3,,,,,
1395,MS,M,19,,,T,1,,,,,