Student_ID,romantic,famrel,freetime,goout,Dalc,Walc,health
1001,GP,,18,,,,4
1002,GP,,17,,,,1
1003,GP,,15,,,,1
1004,GP,,15,,,,4
1005,GP,,16,,,,3
1006,GP,,16,,,,4
1007,GP,,16,,,,2
1008,GP,,17,,,,4
1009,GP,,15,,,,3
1010,GP,,15,,,,3
1011,GP,,15,,,,4
1012,GP,,15,,,,2
1013,GP,,15,,,,4
1014,GP,,15,,,,4
1015,GP,,15,,,,2
1016,GP,,16,,,,4
1017,GP,,16,,,,4
1018,GP,,16,,,,3
1019,GP,,17,,,,3
1020,GP,,16,,,,4
1021,GP,,15,,,,4
1022,GP,,15,,,,4
1023,GP,,16,,,,4
1024,GP,,16,,,,2
1025,GP,,15,,,,2
1026,GP,,16,,,,2
1027,GP,,15,,,,2
1028,GP,,15,,,,4
1029,GP,,16,,,,3
1030,GP,,16,,,,4
1031,GP,,15,,,,4
1032,GP,,15,,,,4
1033,GP,,15,,,,4
1034,GP,,15,,,,3
1035,GP,,16,,,,3
1036,GP,,15,,,,2
1037,GP,,15,,,,4
1038,GP,,16,,,,4
1039,GP,,15,,,,3
1040,GP,,15,,,,2
1041,GP,,16,,,,2
1042,GP,,15,,,,4
1043,GP,,15,,,,4
1044,GP,,15,,,,2
1045,GP,,16,,,,2
1046,GP,,15,,,,4
1047,GP,,16,,,,3
1048,GP,,16,,,,4
1049,GP,,15,,,,4
1050,GP,,15,,,,4
1051,GP,,16,,,,2
1052,GP,,15,,,,4
1053,GP,,15,,,,4
1054,GP,,15,,,,4
1055,GP,,15,,,,3
1056,GP,,16,,,,2
1057,GP,,15,,,,4
1058,GP,,15,,,,4
1059,GP,,15,,,,1
1060,GP,,16,,,,4
1061,GP,,16,,,,4
1062,GP,,16,,,,1
1063,GP,,16,,,,1
1064,GP,,16,,,,4
1065,GP,,15,,,,4
1066,GP,,16,,,,4
1067,GP,,15,,,,4
1068,GP,,16,,,,3
1069,GP,,15,,,,2
1070,GP,,15,,,,3
1071,GP,,16,,,,3
1072,GP,,15,,,,4
1073,GP,,15,,,,1
1074,GP,,16,,,,3
1075,GP,,16,,,,3
1076,GP,,15,,,,4
1077,GP,,15,,,,4
1078,GP,,16,,,,2
1079,GP,,17,,,,2
1080,GP,,16,,,,3
1081,GP,,15,,,,2
1082,GP,,15,,,,2
1083,GP,,15,,,,3
1084,GP,,15,,,,2
1085,GP,,15,,,,1
1086,GP,,15,,,,4
1087,GP,,16,,,,2
1088,GP,,15,,,,4
1089,GP,,16,,,,2
1090,GP,,16,,,,4
1091,GP,,16,,,,3
1092,GP,,15,,,,4
1093,GP,,16,,,,3
1094,GP,,16,,,,4
1095,GP,,15,,,,2
1096,GP,,15,,,,1
1097,GP,,16,,,,4
1098,GP,,16,,,,2
1099,GP,,16,,,,4
1100,GP,,16,,,,4
1101,GP,,16,,,,4
1102,GP,,16,,,,4
1103,GP,,15,,,,4
1104,GP,,15,,,,3
1105,GP,,15,,,,3
1106,GP,,15,,,,3
1107,GP,,15,,,,2
1108,GP,,16,,,,3
1109,GP,,15,,,,4
1110,GP,,16,,,,4
1111,GP,,15,,,,4
1112,GP,,16,,,,3
1113,GP,,16,,,,2
1114,GP,,15,,,,4
1115,GP,,15,,,,2
1116,GP,,16,,,,4
1117,GP,,15,,,,4
1118,GP,,16,,,,3
1119,GP,,17,,,,1
1120,GP,,15,,,,3
1121,GP,,15,,,,1
1122,GP,,15,,,,2
1123,GP,,16,,,,2
1124,GP,,16,,,,4
1125,GP,,16,,,,2
1126,GP,,15,,,,3
1127,GP,,15,,,,3
1128,GP,,19,,,,0
1129,GP,,18,,,,2
1130,GP,,16,,,,4
1131,GP,,15,,,,3
1132,GP,,15,,,,1
1133,GP,,17,,,,2
1134,GP,,16,,,,3
1135,GP,,15,,,,3
1136,GP,,15,,,,4
1137,GP,,17,,,,3
1138,GP,,16,,,,3
1139,GP,,16,,,,1
1140,GP,,15,,,,4
1141,GP,,15,,,,4
1142,GP,,16,,,,2
1143,GP,,15,,,,4
1144,GP,,16,,,,1
1145,GP,,17,,,,2
1146,GP,,15,,,,1
1147,GP,,15,,,,3
1148,GP,,15,,,,1
1149,GP,,16,,,,4
1150,GP,,15,,,,2
1151,GP,,18,,,,1
1152,GP,,16,,,,2
1153,GP,,15,,,,3
1154,GP,,19,,,,3
1155,GP,,17,,,,4
1156,GP,,15,,,,2
1157,GP,,17,,,,1
1158,GP,,18,,,,1
1159,GP,,16,,,,2
1160,GP,,16,,,,3
1161,GP,,17,,,,2
1162,GP,,15,,,,3
1163,GP,,16,,,,1
1164,GP,,17,,,,1
1165,GP,,17,,,,1
1166,GP,,16,,,,3
1167,GP,,16,,,,2
1168,GP,,16,,,,4
1169,GP,,16,,,,2
1170,GP,,16,,,,4
1171,GP,,16,,,,3
1172,GP,,16,,,,1
1173,GP,,17,,,,4
1174,GP,,16,,,,1
1175,GP,,16,,,,3
1176,GP,,17,,,,4
1177,GP,,16,,,,2
1178,GP,,17,,,,3
1179,GP,,16,,,,4
1180,GP,,17,,,,4
1181,GP,,16,,,,4
1182,GP,,16,,,,3
1183,GP,,17,,,,2
1184,GP,,17,,,,3
1185,GP,,16,,,,3
1186,GP,,17,,,,3
1187,GP,,16,,,,1
1188,GP,,16,,,,2
1189,GP,,17,,,,3
1190,GP,,17,,,,1
1191,GP,,16,,,,2
1192,GP,,17,,,,1
1193,GP,,17,,,,1
1194,GP,,16,,,,3
1195,GP,,16,,,,2
1196,GP,,17,,,,2
1197,GP,,17,,,,4
1198,GP,,16,,,,3
1199,GP,,17,,,,4
1200,GP,,16,,,,4
1201,GP,,16,,,,4
1202,GP,,16,,,,2
1203,GP,,17,,,,1
1204,GP,,17,,,,2
1205,GP,,16,,,,2
1206,GP,,17,,,,3
1207,GP,,16,,,,3
1208,GP,,16,,,,4
1209,GP,,16,,,,1
1210,GP,,17,,,,4
1211,GP,,19,,,,3
1212,GP,,17,,,,4
1213,GP,,16,,,,2
1214,GP,,18,,,,2
1215,GP,,17,,,,4
1216,GP,,17,,,,3
1217,GP,,17,,,,4
1218,GP,,18,,,,3
1219,GP,,17,,,,2
1220,GP,,17,,,,2
1221,GP,,17,,,,2
1222,GP,,17,,,,1
1223,GP,,16,,,,2
1224,GP,,18,,,,2
1225,GP,,16,,,,4
1226,GP,,18,,,,3
1227,GP,,17,,,,3
1228,GP,,17,,,,2
1229,GP,,18,,,,2
1230,GP,,17,,,,2
1231,GP,,17,,,,4
1232,GP,,17,,,,2
1233,GP,,17,,,,4
1234,GP,,16,,,,4
1235,GP,,16,,,,1
1236,GP,,16,,,,3
1237,GP,,17,,,,2
1238,GP,,16,,,,2
1239,GP,,17,,,,2
1240,GP,,18,,,,2
1241,GP,,17,,,,4
1242,GP,,17,,,,4
1243,GP,,16,,,,4
1244,GP,,16,,,,4
1245,GP,,18,,,,2
1246,GP,,16,,,,2
1247,GP,,17,,,,2
1248,GP,,22,,,,3
1249,GP,,18,,,,3
1250,GP,,16,,,,0
1251,GP,,18,,,,3
1252,GP,,16,,,,3
1253,GP,,18,,,,2
1254,GP,,16,,,,2
1255,GP,,17,,,,2
1256,GP,,17,,,,1
1257,GP,,17,,,,4
1258,GP,,19,,,,4
1259,GP,,18,,,,2
1260,GP,,17,,,,2
1261,GP,,18,,,,4
1262,GP,,18,,,,4
1263,GP,,18,,,,3
1264,GP,,17,,,,3
1265,GP,,18,,,,2
1266,GP,,18,,,,3
1267,GP,,17,,,,3
1268,GP,,18,,,,4
1269,GP,,18,,,,4
1270,GP,,18,,,,2
1271,GP,,19,,,,3
1272,GP,,18,,,,2
1273,GP,,18,,,,1
1274,GP,,17,,,,1
1275,GP,,17,,,,2
1276,GP,,17,,,,2
1277,GP,,18,,,,3
1278,GP,,18,,,,4
1279,GP,,18,,,,4
1280,GP,,18,,,,4
1281,GP,,17,,,,4
1282,GP,,17,,,,3
1283,GP,,18,,,,1
1284,GP,,18,,,,1
1285,GP,,17,,,,2
1286,GP,,17,,,,1
1287,GP,,18,,,,2
1288,GP,,17,,,,1
1289,GP,,18,,,,2
1290,GP,,18,,,,4
1291,GP,,18,,,,4
1292,GP,,17,,,,4
1293,GP,,18,,,,2
1294,GP,,17,,,,3
1295,GP,,18,,,,3
1296,GP,,17,,,,3
1297,GP,,19,,,,4
1298,GP,,18,,,,4
1299,GP,,18,,,,4
1300,GP,,18,,,,4
1301,GP,,18,,,,4
1302,GP,,17,,,,4
1303,GP,,17,,,,4
1304,GP,,17,,,,3
1305,GP,,19,,,,3
1306,GP,,18,,,,2
1307,GP,,20,,,,3
1308,GP,,19,,,,4
1309,GP,,19,,,,3
1310,GP,,19,,,,1
1311,GP,,19,,,,1
1312,GP,,19,,,,2
1313,GP,,19,,,,1
1314,GP,,19,,,,3
1315,GP,,19,,,,1
1316,GP,,19,,,,2
1317,GP,,18,,,,2
1318,GP,,18,,,,4
1319,GP,,17,,,,3
1320,GP,,18,,,,4
1321,GP,,17,,,,4
1322,GP,,17,,,,2
1323,GP,,17,,,,2
1324,GP,,17,,,,3
1325,GP,,17,,,,0
1326,GP,,18,,,,4
1327,GP,,17,,,,3
1328,GP,,17,,,,2
1329,GP,,17,,,,4
1330,GP,,17,,,,4
1331,GP,,18,,,,2
1332,GP,,17,,,,2
1333,GP,,18,,,,3
1334,GP,,18,,,,2
1335,GP,,18,,,,2
1336,GP,,17,,,,3
1337,GP,,19,,,,3
1338,GP,,17,,,,3
1339,GP,,18,,,,3
1340,GP,,17,,,,3
1341,GP,,19,,,,2
1342,GP,,18,,,,4
1343,GP,,18,,,,3
1344,GP,,17,,,,2
1345,GP,,18,,,,2
1346,GP,,18,,,,3
1347,GP,,18,,,,4
1348,GP,,18,,,,4
1349,GP,,17,,,,4
1350,MS,,18,,,,3
1351,MS,,19,,,,1
1352,MS,,17,,,,3
1353,MS,,18,,,,1
1354,MS,,19,,,,1
1355,MS,,17,,,,4
1356,MS,,18,,,,3
1357,MS,,17,,,,4
1358,MS,,17,,,,3
1359,MS,,18,,,,1
1360,MS,,18,,,,1
1361,MS,,18,,,,1
1362,MS,,18,,,,1
1363,MS,,18,,,,3
1364,MS,,17,,,,4
1365,MS,,17,,,,1
1366,MS,,18,,,,1
1367,MS,,18,,,,4
1368,MS,,17,,,,1
1369,MS,,18,,,,2
1370,MS,,18,,,,4
1371,MS,,19,,,,3
1372,MS,,18,,,,1
1373,MS,,17,,,,2
1374,MS,,17,,,,1
1375,MS,,18,,,,4
1376,MS,,18,,,,1
1377,MS,,20,,,,4
1378,MS,,18,,,,4
1379,MS,,18,,,,3
1380,MS,,17,,,,3
1381,MS,,18,,,,4
1382,MS,,18,,,,2
1383,MS,,17,,,,2
1384,MS,,19,,,,1
1385,MS,,18,,,,4
1386,MS,,18,,,,2
1387,MS,,18,,,,4
1388,MS,,19,,,,2
1389,MS,,18,,,,3
1390,MS,,18,,,,1
1391,MS,,20,,,,2
1392,MS,,17,,,,3
1393,MS,,21,,,,1
1394,MS,,18,,,,3
1395,MS,,19,,,,1